,accession,dec.date,country,V3,region
2324,MH341722,[2016.749:2016.822],China,2016.770498,Eastern Asia
2325,MH041324,[2016.749:2016.822],China,2016.770837,Eastern Asia
2326,MH341723,[2016.749:2016.822],China,2016.770498,Eastern Asia
2327,MH041323,[2016.749:2016.822],China,2016.770498,Eastern Asia
2328,MG547202,[2016.749:2016.822],China,2016.770837,Eastern Asia
2329,MG547201,[2016.749:2016.822],China,2016.770837,Eastern Asia
2330,LC413953,[2015:2015.666],Japan,2015,Eastern Asia
2331,LC203564,[2015:2015.997],Japan,2015.997,Eastern Asia
2332,LC203545,[2015:2015.997],Japan,2015.997,Eastern Asia
2333,MH780676,[2015:2015.997],Hong Kong,2015.691226,Eastern Asia
2334,MG739638,2015.934,Hong Kong,2015.934,Eastern Asia
2335,KX830926,[2016.497:2016.579],Germany,2016.579,Europe
2336,LC200969,[2015.748:2015.822],Japan,2015.822,Eastern Asia
2337,LC203570,[2015:2015.997],Japan,2015.997,Eastern Asia
2338,LC200970,[2015.748:2015.83],Japan,2015.83,Eastern Asia
2339,KX789224,[2015.674:2015.745],Japan,2015.745,Eastern Asia
2340,KX789223,[2015.666:2015.737],Japan,2015.666,Eastern Asia
2341,LC203575,[2015:2015.997],Japan,2015.808849,Eastern Asia
2342,LC203561,[2015:2015.997],Japan,2015.223044,Eastern Asia
2343,LC203568,[2015:2015.997],Japan,2015.283976,Eastern Asia
2344,LC203554,[2015:2015.997],Japan,2015.781943,Eastern Asia
2345,LC203547,[2015:2015.997],Japan,2015.360756,Eastern Asia
2346,LC203567,[2015:2015.997],Japan,2015.22331,Eastern Asia
2347,LC203556,[2015:2015.595],Japan,2015,Eastern Asia
2348,LC203555,[2015:2015.595],Japan,2015,Eastern Asia
2349,LC107894,2015.797,Japan,2015.797,Eastern Asia
2350,LC203580,[2015:2015.997],Japan,2015.450406,Eastern Asia
2351,LC107889,2015.704,Japan,2015.704,Eastern Asia
2352,KX789264,[2015.666:2015.737],Japan,2015.666,Eastern Asia
2353,LC200974,[2015.666:2015.737],Japan,2015.737,Eastern Asia
2354,LC203562,[2015:2015.997],Japan,2015.360205,Eastern Asia
2355,MG739636,2015.86,Hong Kong,2015.86,Eastern Asia
2356,KY272960,2016.844,France,2016.844,Europe
2357,MF073353,2016.773,Italy,2016.773,Europe
2358,KX789222,[2015.674:2015.745],Japan,2015.745,Eastern Asia
2359,MH341715,[2016.582:2016.664],China,2016.602947,Eastern Asia
2360,MG547190,[2016.582:2016.664],China,2016.602947,Eastern Asia
2361,LC203571,[2015:2015.997],Japan,2015,Eastern Asia
2362,KX830892,[2016.415:2016.486],Germany,2016.415,Europe
2363,MN365195,[2016.497:2016.571],USA,2016.497,North America
2364,LC203542,[2015:2015.997],Japan,2015,Eastern Asia
2365,LC200957,[2015.666:2015.737],Japan,2015.666,Eastern Asia
2366,LC107898,2015.597,Japan,2015.597,Eastern Asia
2367,LC200960,[2015.666:2015.737],Japan,2015.737,Eastern Asia
2368,LC107901,2015.712,Japan,2015.712,Eastern Asia
2369,MG739633,2015.767,Hong Kong,2015.767,Eastern Asia
2370,LC203565,[2015:2015.997],Japan,2015.599967,Eastern Asia
2371,LC203552,[2015:2015.997],Japan,2015.930382,Eastern Asia
2372,LC203560,[2015:2015.997],Japan,2015.677509,Eastern Asia
2373,LC203538,[2015:2015.997],Japan,2015.677509,Eastern Asia
2374,MH341712,[2016.497:2016.571],China,2016.571,Eastern Asia
2375,LC200961,[2015.666:2015.745],Japan,2015.745,Eastern Asia
2376,KX830890,[2016.085:2016.161],Germany,2016.134924,Europe
2377,KX830891,[2016.085:2016.161],Germany,2016.134924,Europe
2378,LC200963,[2015.666:2015.737],Japan,2015.666,Eastern Asia
2379,LC200956,[2015.666:2015.737],Japan,2015.682544,Eastern Asia
2380,LC200975,[2015.748:2015.822],Japan,2015.822,Eastern Asia
2381,MH341721,[2016.667:2016.738],China,2016.738,Eastern Asia
2382,LC203572,[2015:2015.997],Japan,2015.24628,Eastern Asia
2383,LC203544,[2015:2015.997],Japan,2015.727956,Eastern Asia
2384,LC203550,[2015:2015.997],Japan,2015.727956,Eastern Asia
2385,KX789267,[2015.666:2015.745],Japan,2015.666,Eastern Asia
2386,KX789265,[2015.666:2015.745],Japan,2015.666,Eastern Asia
2387,LC107891,2015.767,Japan,2015.767,Eastern Asia
2388,LC200973,[2015.748:2015.83],Japan,2015.748,Eastern Asia
2389,LC200962,[2015.666:2015.745],Japan,2015.717151,Eastern Asia
2390,LC200959,[2015.666:2015.745],Japan,2015.745,Eastern Asia
2391,LC200966,[2015.666:2015.745],Japan,2015.745,Eastern Asia
2392,LC200964,[2015.666:2015.745],Japan,2015.716929,Eastern Asia
2393,LC200955,[2015.666:2015.745],Japan,2015.745,Eastern Asia
2394,LC200954,[2015.666:2015.745],Japan,2015.666,Eastern Asia
2395,LC200971,[2015.748:2015.83],Japan,2015.748,Eastern Asia
2396,LC200972,[2015.748:2015.83],Japan,2015.748,Eastern Asia
2397,LC107900,2015.71,Japan,2015.71,Eastern Asia
2398,MN403223,2016.47,Spain,2016.47,Europe
2399,MN403222,2016.527,Spain,2016.527,Europe
2400,MN403150,2016.53,Spain,2016.53,Europe
2401,MN403151,2016.536,Spain,2016.536,Europe
2402,MG739637,2015.871,Hong Kong,2015.871,Eastern Asia
2403,KU982558,[2015.833:2015.912],China,2015.912,Eastern Asia
2404,MG739632,2015.756,Hong Kong,2015.756,Eastern Asia
2405,MG739635,2015.784,Hong Kong,2015.784,Eastern Asia
2406,MG739634,2015.781,Hong Kong,2015.781,Eastern Asia
2407,LC107899,2015.693,Japan,2015.693,Eastern Asia
2408,MG547221,[2016.749:2016.822],China,2016.749,Eastern Asia
2409,MG547191,[2016.582:2016.656],China,2016.582,Eastern Asia
2410,MK241423,2016.257,China,2016.257,Eastern Asia
2411,MG547199,[2016.667:2016.738],China,2016.667,Eastern Asia
2412,MK241430,2017.742,China,2017.742,Eastern Asia
2413,MK241425,2016.475,China,2016.475,Eastern Asia
2414,MH341720,[2016.593:2016.664],China,2016.664,Eastern Asia
2415,MZ824219,2018.671,China,2018.671,Eastern Asia
2416,MZ824215,2018.447,China,2018.447,Eastern Asia
2417,LC627044,2018.773,Japan,2018.773,Eastern Asia
2418,LC515242,2018.805,Japan,2018.805,Eastern Asia
2419,LC627055,2018.849,Japan,2018.849,Eastern Asia
2420,LC627054,2018.792,Japan,2018.792,Eastern Asia
2421,LC107892,2015.589,Japan,2015.589,Eastern Asia
2422,KY272957,2016.713,France,2016.713,Europe
2423,MG547195,[2016.582:2016.664],China,2016.63726,Eastern Asia
2424,MH341714,[2016.582:2016.664],China,2016.63726,Eastern Asia
2425,MG739639,2015.948,Hong Kong,2015.948,Eastern Asia
2426,MH780677,[2016:2016.385],Hong Kong,2016,Eastern Asia
2427,MH780674,[2015:2015.997],Hong Kong,2015.751237,Eastern Asia
2428,MH780675,[2015:2015.997],Hong Kong,2015.997,Eastern Asia
2429,KU982560,[2015.833:2015.912],China,2015.912,Eastern Asia
2430,LC107890,2015.759,Japan,2015.759,Eastern Asia
2431,LC200953,[2015.581:2015.663],Japan,2015.581,Eastern Asia
2432,KY292525,[2016:2016.997],USA,2016.196321,North America
2433,KY385884,2016.634,USA,2016.634,North America
